Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
E:\udacity\IMG\robocam_2017_06_03_19_53_18_088.jpg;0;1;0;3.299737;105.0798;90.86508;1.390847;41.98653;-0.001112475
E:\udacity\IMG\robocam_2017_06_03_19_53_18_138.jpg;0;1;0;3.339792;105.1794;90.95391;1.392663;41.97495;-0.001567298
E:\udacity\IMG\robocam_2017_06_03_19_53_18_188.jpg;0;1;0;3.367051;105.3303;91.08849;1.396821;41.95965;-0.001486275
E:\udacity\IMG\robocam_2017_06_03_19_53_18_238.jpg;0;1;0;3.406473;105.4319;91.17904;1.39689;41.94893;-0.001599326
E:\udacity\IMG\robocam_2017_06_03_19_53_18_288.jpg;0;1;0;3.432856;105.5858;91.3162;1.40119;41.9329;-0.00160835
E:\udacity\IMG\robocam_2017_06_03_19_53_18_338.jpg;0;1;0;3.473208;105.6894;91.4085;1.403003;41.92357;-0.001158758
E:\udacity\IMG\robocam_2017_06_03_19_53_18_388.jpg;0;1;0;3.499034;105.8464;91.54823;1.406596;41.90694;-0.001174666
E:\udacity\IMG\robocam_2017_06_03_19_53_18_438.jpg;0;1;0;3.538444;105.952;91.6422;1.40784;41.89439;-0.001643637
E:\udacity\IMG\robocam_2017_06_03_19_53_18_488.jpg;0;1;0;3.564545;106.112;91.78446;1.412409;41.87712;-0.001653568
E:\udacity\IMG\robocam_2017_06_03_19_53_18_538.jpg;0;1;0;3.604468;106.2197;91.88014;1.413473;41.86731;-0.001204881
E:\udacity\IMG\robocam_2017_06_03_19_53_18_588.jpg;0;1;0;3.630423;106.3826;92.02493;1.41811;41.84848;-0.001568115
E:\udacity\IMG\robocam_2017_06_03_19_53_18_638.jpg;0;1;0;3.669014;106.4922;92.12225;1.416762;41.83659;-0.001681808
E:\udacity\IMG\robocam_2017_06_03_19_53_18_688.jpg;0;1;0;3.695224;106.6583;92.26959;1.424462;41.81838;-0.00159246
E:\udacity\IMG\robocam_2017_06_03_19_53_18_738.jpg;0;1;0;3.733623;106.7698;92.36857;1.423939;41.80589;-0.001707861
E:\udacity\IMG\robocam_2017_06_03_19_53_18_788.jpg;0;1;0;3.759302;106.9388;92.51836;1.428613;41.78878;-0.00124679
E:\udacity\IMG\robocam_2017_06_03_19_53_18_838.jpg;0;1;0;3.797878;107.0524;92.61898;1.428362;41.77498;-0.001732632
E:\udacity\IMG\robocam_2017_06_03_19_53_18_888.jpg;0;1;0;3.823415;107.2243;92.77123;1.432965;41.757;-0.00125608
E:\udacity\IMG\robocam_2017_06_03_19_53_18_938.jpg;0;1;0;3.862166;107.3399;92.87355;1.436575;41.7436;-0.001271989
E:\udacity\IMG\robocam_2017_06_03_19_53_18_988.jpg;0;1;0;3.887188;107.5147;93.0282;1.438687;41.72381;-0.001298092
E:\udacity\IMG\robocam_2017_06_03_19_53_19_038.jpg;0;1;0;3.92573;107.6323;93.13212;1.440806;41.7106;-0.001288912
E:\udacity\IMG\robocam_2017_06_03_19_53_19_089.jpg;0;1;0;3.950994;107.8101;93.28918;1.44384;41.68903;-0.001683909
E:\udacity\IMG\robocam_2017_06_03_19_53_19_138.jpg;0;1;0;3.98826;107.9296;93.39471;1.447128;41.67496;-0.001685887
E:\udacity\IMG\robocam_2017_06_03_19_53_19_189.jpg;0;1;0;4.014087;108.1104;93.5542;1.450327;41.65555;-0.001224704
E:\udacity\IMG\robocam_2017_06_03_19_53_19_238.jpg;0;1;0;4.051148;108.2318;93.66125;1.449748;41.63992;-0.001812501
E:\udacity\IMG\robocam_2017_06_03_19_53_19_288.jpg;0;1;0;4.07651;108.4155;93.82314;1.454988;41.61839;-0.001713382
E:\udacity\IMG\robocam_2017_06_03_19_53_19_338.jpg;0;1;0;4.113381;108.5389;93.93182;1.458341;41.60332;-0.001727583
E:\udacity\IMG\robocam_2017_06_03_19_53_19_388.jpg;0;1;0;4.138934;108.7254;94.09602;1.460399;41.58292;-0.001258978
E:\udacity\IMG\robocam_2017_06_03_19_53_19_438.jpg;0;1;0;4.17596;108.8508;94.20626;1.462731;41.56743;-0.001365522
E:\udacity\IMG\robocam_2017_06_03_19_53_19_488.jpg;0;1;0;4.200686;109.0402;94.37275;1.463721;41.54375;-0.001772105
E:\udacity\IMG\robocam_2017_06_03_19_53_19_539.jpg;0;1;0;4.237508;109.1675;94.48458;1.46871;41.52917;-0.001284924
E:\udacity\IMG\robocam_2017_06_03_19_53_19_589.jpg;0;1;0;4.262107;109.3598;94.65341;1.471565;41.5041;-0.001791487
E:\udacity\IMG\robocam_2017_06_03_19_53_19_639.jpg;0;1;0;4.298393;109.489;94.76672;1.472765;41.48845;-0.00179261
E:\udacity\IMG\robocam_2017_06_03_19_53_19_689.jpg;0;1;0;4.323205;109.6843;94.93785;1.477064;41.46423;-0.001805211
E:\udacity\IMG\robocam_2017_06_03_19_53_19_739.jpg;-0.7555959;1;0;4.359296;109.8154;95.05267;1.478308;41.44791;-0.001814072
E:\udacity\IMG\robocam_2017_06_03_19_53_19_789.jpg;-3.003147;1;0;4.383933;110.014;95.22542;1.481288;41.27328;-0.001069335
E:\udacity\IMG\robocam_2017_06_03_19_53_19_839.jpg;-5.256778;1;0;4.419843;110.148;95.34059;1.484437;41.00527;-8.764793E-05
E:\udacity\IMG\robocam_2017_06_03_19_53_19_889.jpg;-7.507909;1;0;4.443579;110.3518;95.51227;1.468025;40.28815;0.0006270891
E:\udacity\IMG\robocam_2017_06_03_19_53_19_939.jpg;-9.76108;1;0;4.477466;110.4899;95.62574;1.453941;39.61416;-0.004728761
E:\udacity\IMG\robocam_2017_06_03_19_53_19_989.jpg;-7.516879;1;0;4.500736;110.7005;95.79372;1.409555;38.44913;359.9385
E:\udacity\IMG\robocam_2017_06_03_19_53_20_038.jpg;-5.267477;1;0;4.536406;110.8426;95.90475;1.354722;37.72305;359.892
E:\udacity\IMG\robocam_2017_06_03_19_53_20_089.jpg;-3.007754;1;0;4.561361;111.0581;96.07039;1.243305;36.88882;359.8197
E:\udacity\IMG\robocam_2017_06_03_19_53_20_139.jpg;-0.7539753;1;0;4.59717;111.2034;96.18051;1.164844;36.52983;359.7673
E:\udacity\IMG\robocam_2017_06_03_19_53_20_189.jpg;0;1;0;4.621373;111.4235;96.34615;1.057842;36.29161;359.6956
E:\udacity\IMG\robocam_2017_06_03_19_53_20_239.jpg;0;1;0;4.656319;111.5716;96.45696;0.9973834;36.23989;359.6536
E:\udacity\IMG\robocam_2017_06_03_19_53_20_289.jpg;0;1;0;4.679601;111.7958;96.62398;0.9253872;36.22501;359.6067
E:\udacity\IMG\robocam_2017_06_03_19_53_20_339.jpg;0;1;0;4.714082;111.9466;96.73598;0.8960644;36.23381;359.5831
E:\udacity\IMG\robocam_2017_06_03_19_53_20_389.jpg;0;1;0;4.73719;112.1745;96.90519;0.8695302;36.26052;359.5736
E:\udacity\IMG\robocam_2017_06_03_19_53_20_439.jpg;0;1;0;4.771406;112.3276;97.01879;0.8696814;36.28049;359.5769
E:\udacity\IMG\robocam_2017_06_03_19_53_20_489.jpg;0;1;0;4.794144;112.559;97.19046;0.8936995;36.31308;359.5978
E:\udacity\IMG\robocam_2017_06_03_19_53_20_539.jpg;0;1;0;4.828148;112.7144;97.30577;0.9240884;36.33595;359.622
E:\udacity\IMG\robocam_2017_06_03_19_53_20_589.jpg;0;1;0;4.85075;112.949;97.48;0.988419;36.37182;359.672
E:\udacity\IMG\robocam_2017_06_03_19_53_20_638.jpg;0;1;0;4.884561;113.1064;97.59702;1.042089;36.39693;359.7135
E:\udacity\IMG\robocam_2017_06_03_19_53_20_689.jpg;0;1;0;4.907041;113.344;97.7738;1.135713;36.4368;359.7863
E:\udacity\IMG\robocam_2017_06_03_19_53_20_738.jpg;0;1;0;4.940674;113.5033;97.8925;1.205106;36.46511;359.8407
E:\udacity\IMG\robocam_2017_06_03_19_53_20_789.jpg;0;1;0;4.963079;113.7436;98.07186;1.317721;36.51002;359.9324
E:\udacity\IMG\robocam_2017_06_03_19_53_20_839.jpg;0;1;0;4.996655;113.9048;98.19219;1.396573;36.53733;359.9934
E:\udacity\IMG\robocam_2017_06_03_19_53_20_889.jpg;0;1;0;5.012821;114.1483;98.37209;1.509574;36.53362;-0.003359698
E:\udacity\IMG\robocam_2017_06_03_19_53_20_938.jpg;0;1;0;5.007268;114.31;98.49142;1.533602;36.52291;-0.005700767
E:\udacity\IMG\robocam_2017_06_03_19_53_20_989.jpg;0;1;0;5.044404;114.5494;98.66774;1.363469;36.48422;-0.001012382
E:\udacity\IMG\robocam_2017_06_03_19_53_21_039.jpg;0;1;0;5.01263;114.71;98.78557;1.291798;36.46308;-0.001477564
E:\udacity\IMG\robocam_2017_06_03_19_53_21_089.jpg;0;1;0;5.013015;114.9515;98.9626;1.211228;36.42805;-0.001117412
E:\udacity\IMG\robocam_2017_06_03_19_53_21_139.jpg;0;1;0;5.005244;115.1127;99.08072;1.176412;36.40203;-0.0008827745
E:\udacity\IMG\robocam_2017_06_03_19_53_21_189.jpg;-3.015035;1;0;4.992851;115.3554;99.25749;1.147034;36.2327;-0.0009512943
E:\udacity\IMG\robocam_2017_06_03_19_53_21_239.jpg;-6.008546;1;0;5.007605;115.5181;99.37461;1.144813;35.97367;-0.0008004658
E:\udacity\IMG\robocam_2017_06_03_19_53_21_289.jpg;-3.998739;1;0;5.002783;115.7637;99.54926;1.165444;35.44234;-0.001916264
E:\udacity\IMG\robocam_2017_06_03_19_53_21_339.jpg;-0.9446363;1;0;5.014223;115.9274;99.66486;1.175879;35.09949;-0.002706552
E:\udacity\IMG\robocam_2017_06_03_19_53_21_389.jpg;0;1;0;5.006946;116.1739;99.83885;1.22535;34.89933;-0.004770857
E:\udacity\IMG\robocam_2017_06_03_19_53_21_439.jpg;0;1;0;5.026619;116.3386;99.95472;1.265755;34.86143;359.9942
E:\udacity\IMG\robocam_2017_06_03_19_53_21_489.jpg;0;1;0;5.013584;116.5853;100.1279;1.320667;34.81767;-0.005637203
E:\udacity\IMG\robocam_2017_06_03_19_53_21_539.jpg;0;1;0;5.018133;116.7503;100.2434;1.368374;34.82201;359.9942
E:\udacity\IMG\robocam_2017_06_03_19_53_21_589.jpg;0;1;0;5.024455;116.9976;100.4164;1.435222;34.83142;-0.005343684
